id,date,source,company,location,jobs,excerpt,human_label
warn-5026,2027-03-31,ny,Novanta Corporation,Onondaga,49,Relocation of Business,
warn-5006,2026-11-23,ny,Masonite Corporation d/b/a Owens Corning Doors,Broome,46,Other,
warn-4942,2026-10-28,ny,"Hudson Valley Fish Farm, Inc.",Columbia,47,Economic,
warn-5036,2026-10-08,ny,"Pomonok Home Services, Inc.",Queens,226,Other,
warn-5062,2026-10-07,ny,"Sky Chefs, LLC",Queens,471,Contract Loss,
warn-4919,2026-09-30,ny,"Diageo North America, Inc",New York,305,Economic,
warn-5028,2026-09-30,ny,NYY Steak LLC,Bronx,21,Contract Termination,
warn-4943,2026-09-29,ny,Hyatt Corporation,New York,52,Other,
warn-4899,2026-09-28,ny,"Brinker International Payroll Company, L.P.",Nassau,57,Economic Expiration of Lease,
warn-5013,2026-09-26,ny,"Miller's Ale House, Inc.",Richmond,25,Other,
warn-5041,2026-09-15,ny,"Resideo, LLC. D/B/A ADI",Albany,55,Relocation of Business,
warn-12676,2026-09-11,wa,Young's Market Company of Washington LLC,Auburn,33,,
warn-12677,2026-09-11,wa,Monson Ranches Snake River Orchards LLC,"Benton City, Burbank",172,,
warn-5034,2026-09-10,ny,"Piedmont Airlines, Inc.",Onondaga,88,Contract Loss,
warn-12678,2026-09-10,wa,Legendary Fruit Co,"Yakima, Wapato",1220,,
warn-5084,2026-09-08 00:00:00,tx,Conifer's Health Solutions,Dallas,1037,,
warn-5085,2026-09-08 00:00:00,tx,Eagles Delivery LLC,Roanoke,115,,
warn-5086,2026-09-08 00:00:00,tx,Texas Family Initiative LLC,Dallas,307,,
warn-12679,2026-09-08,wa,MultiCare Health System,Statewide,138,,
warn-5082,2026-09-07,ny,Waterview Heights Rehabilitation and Nursing Center,Monroe,216,Funding Loss,
warn-5087,2026-09-04 00:00:00,tx,Keystone Tower Systems,Pampa,79,,
warn-4940,2026-09-04,ny,"H&M Fashion USA, Inc.",New York,76,Other,
warn-12680,2026-09-03,wa,"Gilbert Orchards, Inc.","Yakima, Franklin and Grant Counties",518,,
warn-12681,2026-09-02,wa,Qualtrics LLC,Seattle,117,,
warn-12682,2026-09-02,wa,Uber Technologies Inc,Seattle,93,,
warn-12683,2026-09-02,wa,"Sundquist Fruit, LLC",Yakima and Franklin Counties,243,,
warn-5088,2026-09-01 00:00:00,tx,Louisiana-Pacific,Jasper,150,,
warn-5051,2026-09-01,ny,"Saint-Gobain Ceramics & Plastics, Inc. (Monofrax, LLC.)",Chautauqua,79,Economic,
warn-5078,2026-09-01,ny,"Van Trans, LLC.",Westchester,297,Contract Termination,
warn-12684,2026-09-01,wa,Georgia-Pacific Gypsum LLC,Tacoma,120,,
warn-4895,2026-08-31,ny,Apple Bank,Westchester,26,Other,
warn-4900,2026-08-31,ny,Bronx Parent Housing Network,Bronx,44,Funding Loss,
warn-4947,2026-08-31,ny,Jennie B. Richmond Nursing Home,Erie,37,Economic,
warn-5066,2026-08-31,ny,"SY SEIT, LLC.",Queens,13,Expiration of Lease,
warn-12685,2026-08-31,wa,Amazon,"Seattle, Bellevue, Sumner",121,,
warn-12686,2026-08-31,wa,Maverick Washington LLC / Riverside Casino,Tukwila,142,,
warn-12687,2026-08-31,wa,Maverick Washington LLC / Great American Casino,Tukwila,96,,
warn-5089,2026-08-28 00:00:00,tx,MCD Innovations (2026),McKinney,54,,
warn-5031,2026-08-28,ny,"Oswego Beverage Company, LLC.",Oswego,59,Sale of Business,
warn-5032,2026-08-28,ny,"Oswego Beverage Company, LLC.",Jefferson,42,Sale of Business,
warn-12688,2026-08-28,wa,"Columbia Hospitality, Inc",Kenmore,86,,
warn-5090,2026-08-27 00:00:00,tx,"CTI Foods Bean, LLC",Saginaw,66,,
